id,Entidad,Municipio,Aborto,Abuso_de_confianza,Abuso_sexual,Acoso_sexual,Allanamiento_de_morada,Amenazas,Contra_el_medio_ambiente,Corrupcion_de_menores,Dano_a_la_propiedad,por_servidores_publicos,Despojo,Electorales,Evasion_de_presos,Extorsion,Falsedad,Falsificacion,Feminicidio,Fraude,Homicidio,Hostigamiento_sexual,Incesto,Incump_obligaciones_asistencia_fam,Lesiones,Narcomenudeo,contra_el_patrimonio,Otros_contra_la_familia,Otros_contra_la_sociedad,Otros_Fuero_Comun,libertad_personal,libertad_seguridad_sexual,vida_integridad_corporal,Rapto,Robo,Secuestro,Trafico_de_menores,Trata_de_personas,Violacion_equiparada,Violacion_simple,Violencia_de_genero,Violencia_familiar,XCOORD,YCOORD
01414115,Jalisco,Villa Guerrero,0,0.020833333,0.145833333,0,0.041666667,0.229166667,0.010416667,0,0.395833333,0.03125,0.291666667,0,0,0,0,0.010416667,0,0.0625,0.019675926,0.020833333,0,0,0.052083333,0.072916667,0,0.020833333,0,0.21875,0.03125,0,0,0,0.013599537,0,0,0,0,0.010416667,0,0.15625,-103.6866371,22.02876732
01414116,Jalisco,Villa Hidalgo,0,0.135416667,0.104166667,0.010416667,0.020833333,0.239583333,0,0.010416667,0.354166667,0.0625,0.15625,0,0,0.020833333,0.010416667,0.3125,0,0.34375,0.030092593,0,0,0,0.086805556,0.020833333,0,0.208333333,0,0.302083333,0.020833333,0,0,0,0.033275463,0,0,0,0,0.020833333,0,0.28125,-102.5935796,21.66771772
01414117,Jalisco,Canadas de Obregon,0,0,0.052083333,0,0.010416667,0.15625,0,0,0.166666667,0,0.0625,0,0,0.0625,0,0.010416667,0,0.0625,0.006944444,0,0,0,0.03125,0,0,0.03125,0,0.09375,0.03125,0.010416667,0,0,0.009548611,0,0,0,0,0.010416667,0,0.083333333,-102.7012561,21.15982066
01414118,Jalisco,Yahualica de Gonzalez Gallo,0,0.125,0.385416667,0.020833333,0.21875,1.020833333,0.010416667,0.010416667,1.125,0.052083333,0.229166667,0.010416667,0,0.114583333,0,0.114583333,0.002604167,0.645833333,0.045138889,0,0,0,0.241898148,0.09375,0,0.260416667,0,0.604166667,0.072916667,0.052083333,0,0,0.08912037,0,0,0,0,0.020833333,0,0.9375,-102.9336315,21.13792264
01414119,Jalisco,Zacoalco de Torres,0,0.21875,0.645833333,0.03125,0.15625,1.947916667,0.03125,0.03125,2.979166667,0.260416667,0.75,0.010416667,0.010416667,0.125,0.0625,0.510416667,0,1.010416667,0.092592593,0.03125,0,0,0.349537037,0.229166667,0,0.28125,0,1.302083333,0.145833333,0.020833333,0,0,0.203993056,0,0,0,0,0.104166667,0,2.197916667,-103.5680414,20.23550417
01414120,Jalisco,Zapopan,0.145833333,24.52083333,30.21875,3.645833333,4.208333333,141.875,1.1875,1.822916667,95.85416667,6.333333333,21.6875,0.145833333,0.020833333,8.697916667,2.458333333,10.76041667,0.119791667,124.5520833,2.56712963,1.25,0.09375,0,15.40740741,26.41666667,0,16.25,0.0625,205.03125,9.604166667,8.739583333,0,0,25.27835648,0.060416667,0.010416667,0.0625,0.0625,7.385416667,0,162.4270833,-103.4941834,20.79483442
01414121,Jalisco,Zapotiltic,0.010416667,0.302083333,0.614583333,0.104166667,0.197916667,2.239583333,0,0.041666667,3.291666667,0.1875,0.395833333,0,0,0.34375,0.041666667,0.864583333,0.002604167,1.260416667,0.090277778,0.041666667,0,0,0.515046296,0.072916667,0,0.625,0,1.208333333,0.114583333,0.041666667,0,0,0.202835648,0,0,0,0,0.072916667,0,2.197916667,-103.3457294,19.62158113
01414122,Jalisco,Zapotitlan de Vadillo,0,0.010416667,0.0625,0,0.03125,0.0625,0,0,0.21875,0,0.239583333,0,0,0,0,0.03125,0,0.145833333,0.013888889,0,0,0,0.023148148,0.020833333,0,0.041666667,0,0.145833333,0,0,0,0,0.010416667,0,0,0,0,0.010416667,0,0.09375,-103.758349,19.51557024
01414123,Jalisco,Zapotlan del Rey,0,0.083333333,0.239583333,0,0.0625,0.395833333,0.010416667,0,0.395833333,0.041666667,0.3125,0,0,0.041666667,0,0.083333333,0.002604167,0.208333333,0.045138889,0,0,0,0.08912037,0.0625,0,0.072916667,0,0.197916667,0.03125,0.020833333,0,0,0.044270833,0,0,0,0,0.03125,0,0.385416667,-102.9249812,20.46087645
01414124,Jalisco,Zapotlanejo,0.020833333,0.802083333,1.604166667,0.052083333,0.145833333,3.875,0.010416667,0.0625,5.864583333,0.447916667,1.229166667,0.010416667,0,0.40625,0.083333333,0.708333333,0.013020833,2.833333333,0.240740741,0.010416667,0,0,0.905092593,0.395833333,0,0.5,0,3.458333333,0.270833333,0.104166667,0,0,0.786747685,0.002083333,0,0,0,0.1875,0,3.9375,-103.0487998,20.63602607
01414125,Jalisco,San Ignacio Cerro Gordo,0,0.052083333,0.197916667,0.020833333,0.010416667,0.375,0.010416667,0.020833333,2.239583333,0.03125,0.166666667,0,0,0.270833333,0,0.1875,0.002604167,0.645833333,0.047453704,0.010416667,0,0,0.174768519,0.0625,0,0.083333333,0,0.229166667,0.041666667,0.020833333,0,0,0.058159722,0.002083333,0,0,0,0.020833333,0,0.489583333,-102.5064056,20.76459053
01414998,Jalisco,No Especificado,0.09375,8.197916667,6.59375,0.65625,0.302083333,19.63541667,0.333333333,0.510416667,9.989583333,4.90625,3.427083333,0.0625,0,1.71875,2.364583333,7.145833333,0,32,0.082175926,0.3125,0,0,1.83912037,3.25,0,3.21875,0,42.07291667,2.239583333,0.583333333,0,0,2.675925926,0,0.010416667,0.020833333,0,1.416666667,0,17.51041667,0,0
01515001,Mexico,Acambay de Ruiz Castaneda,0.010416667,0.416666667,0.333333333,0.15625,0.520833333,0,0.385416667,0.010416667,3.364583333,0.239583333,1.03125,0.0625,0.010416667,0.1875,0,0.052083333,0.010416667,0.864583333,0.118055556,0.020833333,0,0.395833333,1.282407407,0.114583333,0,0,0.854166667,15.58333333,0.21875,0.052083333,0.28125,0,0.396122685,0.008333333,0,0.052083333,0.333333333,0.15625,0.291666667,2.03125,-99.87150169,19.97294346
01515002,Mexico,Acolman,0.09375,1.739583333,1.489583333,0.78125,1,0,0.114583333,0.020833333,7.21875,1.729166667,3.635416667,0.145833333,0,1.072916667,0,0.40625,0.015625,3.333333333,0.292824074,0.041666667,0,1.208333333,3.332175926,1.041666667,0.041666667,0,0.645833333,30.14583333,1.333333333,0.104166667,0.572916667,0,2.240451389,0.0375,0,0.052083333,0.541666667,0.78125,0.875,7.541666667,-98.91986793,19.63377645
